Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Body,Body Wash,'15215008711036,'55151090565500,Oh My Cream,The Summer Pouch Carel x Oh My Cream,https://ohmycream.co.uk/collections/body-shower-bath/products/summer-pouch-carel-oh-my-cream?variant=55151090565500,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Troussedel__t__CarelxOMC__1.jpg?v=1747043352,"Complete list of ingredients

trousse 100% coton made in india

regenerating cleanser tata harper (taille voyage - 50 ml) hordeum vulgare leaf juice*, cetearyl alcohol, cetearyl olivate, propanediol, helianthus annuus (sunflower) seed oil*, prunus armeniaca (apricot) seed powder*, **citrus paradisi (grapefruit) oil, sorbitan olivate, lactobacillus/punica granatum fruit ferment extract, salix alba (willow) bark extract, sambucus nigra fruit extract, arnica montana (arnica) extract*, borago officinalis (borage) leaf extract*, calendula officinalis (calendula) flower extract*, medicago sativa (alfalfa) extract*, spiraea ulmaria (meadowsweet) extract*, olea europaea (olive) oil*, tocopherol, coco-glucoside, cetearyl glucoside, caprylyl glycol, kaolin (white clay), sclerotium gum, **citrus aurantium (bergamot) peel oil, cetyl palmitate, magnolia officinalis bark extract, sorbitan palmitate, glyceryl caprylate, aqua/water/eau, sodium phytate, ci 77491 (red iron oxide), alcohol, limonene, citral, linalool *ingrédients issus de l’agriculture biologique **aroma

mini featherlash lifting serum mascara goop beauty (taille voyage - 4,5gr) water/aqua/eau, glyceryl stearate, hydrogenated jojoba oil, stearic acid, copernicia cerifera (carnauba) cera, glycerin, pentylene glycol, acacia senegal (gum arabic) gum, oryza sativa (rice) bran wax, shorea robusta (shala) resin, oleic/linoleic/linolenic polyglycerides, octyldodecanol, aminomethyl propanol, tocopherol, biotinoyl tripeptide-1, isochrysis galbana extract, panthenol, biotin, hyaluronic acid, leuconostoc/radish root ferment filtrate, lactobacillus, xanthan gum, cocos nucifera (coconut) fruit extract, [iron oxides (ci 77499)].

huile démaquillante éclair patyka (taille voyage - 50 ml) 100% du total des ingrédients sont d'origine naturelle 94,9% du total des ingrédients sont issus de l'agriculture biologique

ingredients : helianthus annuus (sunflower) seed oil*, polyglyceryl-4 oleate, simmondsia chinensis (jojoba) seed oil*, apricot kernel oil polyglyceryl-6 esters, parfum (fragrance), tocopherol, limonene**

*ingrédients issus de l'agriculture biologique **transformé à partir d'ingrédients biologiques

moisturizing mask susanne kaufman (taille voyage - 15 ml) aqua (water), glycerin, caprylic/capric triglyceride, pentylene glycol, dicaprylyl ether, methyl glucose sesquistearate, squalane, octyldodecanol, c10-18 triglycerides, cetearyl alcohol, glyceryl stearate, hydrogenated coco-glycerides, prunus amygdalus dulcis (sweet almond) oil, alcohol, lecithin, euphorbia cerifera (candelilla wax) cera, tocopheryl acetate, inulin, sodium hyaluronate, viola tricolor extract, brassica oleracea italica (broccoli) seed oil, echium plantagineum seed oil, helianthus annuus (sunflower) seed oil, cardiospermum halicacabum flower/leaf/vine extract, saccharide isomerate, xanthan gum, triticum vulgare (wheat) gluten, sodium levulinate, sodium stearoyl glutamate, sodium anisate, carrageenan, potassium phosphate, citric acid, methylpropanediol, sodium citrate, caprylyl glycol, tocopherol, 1,2-hexanediol, benzoic acid, phenylpropanol, methyl benzoate, parfum.

sérum dive in acide hyaluronique torriden (taille voyage - 20 ml) aqua, butylene glycol, glycerin, dipropylene glycol, 1,2-hexanediol, pentylene glycol, sodium hyaluronate, ethylhexylglycerin, allantoin, betaine, hydrolyzed hyaluronic acid, panthenol, tromethamine, carbomer, malachite extract, polyglyceryl-10 laurate, propanediol, sodium hyaluronate crosspolymer, glyceryl acrylate/acrylic acid copolymer, hydrolyzed sodium hyaluronate, pvm/ma copolymer, sodium acetylated hyaluronate, cholesterol, madecassic acid, madecassoside, trehalose, xanthan gum, ceramide 3, portulaca oleracea extract, paeonia suffruticosa root extract, scutellaria baicalensis root extract, beta-glucan, hamamelis virginiana leaf extract

hand & body wash sauge romarin lavande l:a bruket (taille voyage - 50 ml) aqua (water), sodium lauryl sulfoacetate, glycerin, cocamidopropyl betaine, sodium lauroyl sarcosinate, sodium pca, parfum (mix of essential oils), sodium levulinate, rosmarinus officinalis (rosemary) leaf oil, caprylyl/capryl glycoside, sodium anisate, lavandula angustifolia (lavender) flower oil, polysorbate 20, citric acid, polyglyceryl- 6 oleate, sodium cocoyl glutamate, salvia sclarea (clary sage) oil, glyceryl caprylate, sodium surfactin and linalool, limonene (natural ingredients of essential oils).

fluide solaire spf50 oh my cream skincare (nouveauté) (taille réelle) aqua/water/eau, dicaprylyl carbonate, coco-caprylate, cocoglycerides , diethylamino hydroxybenzoyl hexyl benzoate, bis-ethylhexyloxyphenol methoxyphenyl triazine, ethylhexyl triazone, phenylbenzimidazole sulfonic acid, glyceryl stearate, oryza sativa (rice) starch, 1,2-heptanediol, propanediol, sodium stearoyl glutamate, sodium hyaluronate, bisabolol, brassica campestris sterols, cetylhydroxyproline palmitamide, tocopherol, stearic acid, hexyldecanol, microcrystalline cellulose, cellulose gum, xanthan gum, sodium hydroxide, citric acid, sodium gluconate, o-cymen-5-ol.

c.e.o afterglow vitamin c cream sunday riley (taille voyage - 15 gr) water/eau/aqua, dimethicone, neopentyl glycol diethylhexanoate, tetrahexyldecyl ascorbate, polyglycerin-6, propanediol, phenyl trimethicone, glycerin, hydroxyethyl acrylate/ sodium acryloyldimethyl taurate copolymer, sodium hyaluronate crosspolymer, ergothioneine, xanthophyll, allantoin, citrus aurantium amara (bitter orange) flower oil, sodium acryloyldimethyltaurate/vp crosspolymer, mannitol, pentylene glycol, isododecane, dimethicone crosspolymer, sodium phytate, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, benzotriazolyl dodecyl p-cresol, polymethylsilsesquioxane, ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer, carthamus tinctorius (safflower) seed oil, citrus aurantium dulcis (orange) peel oil, phenoxyethanol, caprylyl glycol, chlorphenesin, ethylhexylglycerin, citric acid, polysorbate 60, sorbitan isostearate.

liquid powder chromatic eye tint fresco ilia (taille réelle - 3,5ml) aqua/water/eau, mica, glycerin, silica, galactoarabinan, pentylene glycol, glyceryl caprylate, fructose, cellulose, kaolin, **aesculus hippocastanum (horse chestnut) extract, honokiol, tin oxide, potassium sorbate, citric acid. may contain (+/-): ci 77891 (titanium dioxide), ci 77491, ci 77492, ci 77499 (iron oxides), ci 77007 (ultramarines).

mist delight rudolph care (taille voyage - 30 ml) aloe barbadensis leaf extract* (aloe vera), aqua, calendula officinalis flower water* (pot marigold), glycerin**, zingiber officinale water (ginger), mel extract* (honey), saccharide isomerate, euterpe oleracea fruit extract (acai), sodium levulinate, parfum (natural), citric acid, sodium citrate, potassium sorbate, sodium benzoate *ingrédients issus de l'agriculture biologique **fabriqué à partir d'ingrédients biologiques

99% d'origine naturelle au total 79% du total des ingrédients sont issus de l'agriculture biologique

lip expert pro-collagen my blend (nouveauté) (taille voyage - 1,5 ml) octyldodecanol. diisostearyl malate. polyglyceryl-2 isostearate/dimer dilinoleate copolymer. cera alba/beeswax/cire d´abeille. helianthus annuus (sunflower) seed wax. silica. ethylcellulose. sorbitan caprylate. theobroma cacao (cocoa) seed butter. ethylhexyl palmitate. mica. tocopheryl acetate. tribehenin. ci 77891/titanium dioxide. ammonium glycyrrhizate. parfum/fragrance. theobroma cacao (cocoa) extract. sorbitan isostearate. lactic acid. ascorbyl palmitate. helianthus annuus (sunflower) seed oil. tocopherol. ci 77492/iron oxides. ci 15850/red 7 lake. palmitoyl tripeptide-1. [v4060a1]

brume démêlante cair (nouveauté) (taille voyage - 20 ml) oryza sativa (rice) bran water*, aqua (water), vitis vinifera (grape) fruit water*, erythritol, pentylene glycol, propanediol, behentrimonium chloride, cetearyl alcohol, phyllostachys bambusoides extract, acetum (vinegar), citric acid, glycerin, ethyl oleate, dipropylene glycol, parfum (fragrance), rubus idaeus (raspberry) seed oil, triolein, sodium

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.7,14
Body,Body Wash,'15195171783036,'55123969343868,Naturisimo,The Clean Teen Starter Kit,https://ohmycream.co.uk/collections/body-shower-bath/products/clean-teen-starter-kit?variant=55123969343868,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheCleanTeenKit1.jpg?v=1745580664,"Complete list of ingredients

upcircle cleansing soap bar with cinnamon + ginger sodium cocoate**, aqua, glycerin**, coconut acid**, sodium citrate, illite, sodium chloride, zingiber officinale (ginger) root oil*, eugenol^, kaolin, illicium verum (star anise) fruit, cinnamomum zeylanicum (cinnamon) leaf oil*, cinnamomum verum bark, foeniculum vulgare (fennel) leaf, eugenia caryophyllus (clove) flower, pimenta officinalis (all spice) fruit, zingiber officinale root, elettaria cardamomum (green cardamom) seed, myristica fragrans (nutmeg) seed, vanilla planifolia (vanilla) fruit. *organically produced ingredient; **from organic origin; ^natural constituent of essential oils listed.

pai skincare phaze clariying cleanser aqua (water), decyl glucoside, cocamidopropyl betaine, lauryl glucoside, disodium cocoyl glutamate, glycerin**, caprylyl/capryl glucoside, inulin, sodium chloride, sodium levulinate, gluconolactone, glyceryl oleate, sorbitan caprylate, sodium anisate, saccharide isomerate, sodium phytate, fructose, citrus aurantifolia peel oil* (lime oil), boswellia neglecta resin oil* (frankincense oil), rosmarinus officinalis leaf oil* (rosemary oil), maltodextrin, sodium citrate, hydrolyzed gardenia florida extract (gardenia extract), gardenia florida fruit extract (gardenia extract), citric acid limonene (naturally occurring in essential oils / naturellement présent dans les huiles essentielles) of total: 98% natural origin sur total: 98% d'origine naturelle *organic ingredient / ingrédient biologique **made using organic ingredients

evolve true balance gel cream aqua (eau), cellulose, coco-caprylate/caprate, butyl avocadate, isoamyl laurate, glycérine, simmondsia chinensis (jojoba) seed oil*, cellulose microcristalline, glyceryl stearate, argania spinosa (argan) kernel oil*, parfum (parfum d'origine naturelle ), hyaluronate de sodium, extrait de cellules de feuilles de zingiber officinale (gingembre), extrait de graines de moringa pterygosperma, poudre de jus de feuilles d'aloe barbadensis*, stéarate de saccharose, gomme de xanthane, lévulinate de sodium, esters polyglycéryl-3 de son de candelilla/jojoba/riz, gomme de cellulose, sodium déhydroacétate, alcool cétéarylique, lactylate de stéaroyle de sodium, cocoate d'isoamyle, tocophérol, anisate de sodium, palmitate de saccharose, dextrine, gallate de propyle. *ingrédients issus de l'agriculture biologique **fabriqué à partir d'ingrédients biologiques'

balance me hyaluronic plumping mist aqua (water), glycerin, polyglyceryl-4 caprylate, hydrolyzed hyaluronic acid, citric acid, ananas sativus (pineapple) fruit extract, citrus aurantium (neroli) flower oil, rosa centifolia (rose absolute) flower oil, achillea millefolium (yarrow) leaf oil, nardostachys jatamansi (spikenard) root oil, anthemis nobilis (roman chamomile) flower oil, citrus aurantium bergamia (bergamot) fruit oil, pelargonium graveolens (rose geranium) flower oil, sodium dehydroacetate, potassium sorbate, dehydroacetic acid, benzyl alcohol, sodium hydroxide, limonene, linalool, geraniol, citronellol, citral, farnesol.

q+a hyaluronic body wash aqua (water), zea mays (corn) cob powder, glycerin, cetearyl alcohol, lactic acid, glyceryl stearate, helianthus annuus (sunflower) seed oil, caprylic/capric triglyceride, glycolic acid, hippophae rhamnoides (sea buckthorn) fruit oil. simmondsia chinensis (jojoba) seed oil, vitis vinifera (grape) seed oil, carbomer, sodium stearoyl glutamate, coco-glucoside, sodium gluconate, potassium sorbate, sodium benzoate, fragrance (parfum), coconut alcohol, sodium hydroxide, benzyl cinnamate, coumarin.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,21
Body,Body Wash,'7662173552812,'42680491868332,Maude,Wash pH Balancing Body Wash & Bubble Bath,https://ohmycream.co.uk/collections/body-shower-bath/products/maude-wash-ph-balancing-body-wash-bubble-bath?variant=42680491868332,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/WashBodyWash_Maude.jpg?v=1722007573,"Complete list of ingredients

aqua/water/eau, cocamidopropyl betaine, glycerin, sodium methyl cocoyl taurate, sodium chloride, decyl glucoside, sodium lauroyl methyl isethionate, disodium, cocoamphodiacetate, benzyl alcohol, coco-glucoside, glyceryl oleate, coconut fatty acid, sodium citrate, ethylhexylglycerin, citric acid, hydrolyzed jojoba esters, panthenol, tetrasodium glutamate diacetate, dehydroacetic acid, aloe barbadensis leaf juice, argania spinosa kernel oil, citrus limon (lemon) peel extract, limnanthes alba (meadowfoam) seed oil, niacinamide, tocopheryl acetate, citrus aurantium dulcis (orange) fruit extract, camellia sinensis leaf extract, olea europaea (olive) leaf extract, canola oil, ascorbic acid, sodium hydroxide)

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Body Wash,'15031064396156,'54942124409212,Pai Skincare,Gentle Genius™ Barrier Care Soothing Body Cream,https://ohmycream.co.uk/collections/body-shower-bath/products/pai-skincare-gentle-genius-barrier-care-soothing-body-cream?variant=54942124409212,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202502_CremeCorpsApaisante_Pai__1.jpg?v=1740394777,"Complete list of ingredients

aqua (water), butyrospermum parkii butter*(shea butter), helianthus annuus seed oil*(sunflower), glycerin**, coconut alkanes, cetearyl alcohol, shea butter ethyl esters, simmondsia chinensis seed oil*(jojoba), ricinus communis seed oil*(castor), rhus verniciflua peel wax (sumac fruit), cetearyl glucoside, inulin, xanthan gum, caprylyl glycol, squalane, prunus domestica seed oil*(plum), sodium stearoyl glutamate, avena sativa kernel extract (oat), sapindus mukorossi fruit extract, sclerotium gum, hippophae rhamnoides fruit extract*(sea buckthorn), maltodextrin, fructose, tocopherol* (vitamin e), capparis spinosa fruit extract, opuntia ficus-indica extract (prickly pear), lactic acid, olea europaea leaf extract (olive), calendula officinalis flower extract*(calendula), ceramide np, moringa oleifera seed oil (moringa), phytosphingosine, hydrogenated lecithin, limnanthes alba (meadowfoam), macadamia integrifolia seed oil (macadamia), rosmarinus officinalis leaf extract*(rosemary), parfum (100% natural gentlescent)

of total: 100% natural origin/ sur total: 100% d'origine naturelle *organic ingredient / ingrédient biologique **made using organic and non-organic ingredients / formulé à partir d'ingrédients biologiques et non-biologiques

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Body Wash,'15211076616572,'55142009471356,L:a Bruket,Sage Rosemary Lavender Hand & Body Wash 094 Travel Size,https://ohmycream.co.uk/collections/body-shower-bath/products/sage-rosemary-lavender-hand-body-wash-094?variant=55142009471356,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/HAND_BODYWASHSageRosemaryLavende_LABRUKET__2.jpg?v=1748018078,"Complete list of ingredients

""aqua (water), sodium lauryl sulfoacetate, glycerin, cocamidopropyl betaine, sodium lauroyl sarcosinate, sodium pca, parfum (mix of essential oils), sodium levulinate, rosmarinus officinalis (rosemary) leaf oil, caprylyl/capryl glycoside, sodium anisate, lavandula angustifolia (lavender) flower oil, polysorbate 20, citric acid, polyglyceryl- 6 oleate, sodium cocoyl glutamate, salvia sclarea (clary sage) oil, glyceryl caprylate, sodium surfactin and linalool, limonene (natural ingredients of essential oils).""

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Body Wash,'7802319962284,'43344276881580,L:a Bruket,Hand & Body Wash Bergamot Patchouli 104,https://ohmycream.co.uk/collections/body-shower-bath/products/la-bruket-hand-body-wash-bergamot-patchouli-104?variant=43344276881580,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/HandBodyWashNettoyantBergamotPatchoul_LABruket.jpg?v=1713341332,"Complete list of ingredients

aqua, aloe barbadensis (aloe vera) leaf juice*, glycerin, oleyl erucate, brassica campestris (rapeseed) seed oil*, sorbitan olivate, cocos nucifera (coconut) oil*, cetearyl olivate, butyrospermum parkii (shea) butter*, theobroma cacao (cocoa) seed butter, cetyl alcohol, benzyl alcohol, parfum, tocopherol, sclerotium gum, juniperus virginiana (cedar) oil, citrus aurantium bergamia (bergamot) peel oil*, pogostemon cablin (patchouli) oil, cetyl palmitate, helianthus annuus (sunflower) seed oil, sorbitan palmitate, salicylic acid, sorbic acid, sodium hydroxide, citral, citronellol, limonene, eugenol, linalool.

*en provenance de l'agriculture biologique

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Body Wash,'15205149802876,'55133221388668,Dr. Hauschka,Shower Cream,https://ohmycream.co.uk/collections/body-shower-bath/products/dr-hauschka-shower-cream?variant=55133221388668,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202503_Dr_Hauschka_Shower_Cream_Packshot.png?v=1745326780,"Complete list of ingredients

water (aqua), helianthus annuus (sunflower) seed oil, coco-glucoside, glycerin, decyl glucoside, alcohol, persea gratissima (avocado) oil, pyrus cydonia seed extract, sodium cocoyl glutamate, disodium cocoyl glutamate, xanthan gum, citrus limon (lemon) peel oil, cymbopogon flexuosus oil, fragrance (parfum)*, limonene*, citral*, geraniol*, linalool*, citronellol*, farnesol*, citric acid, hectorite. *from natural essential oils

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Body Wash,'7383226351788,'41811424182444,Susanne Kaufmann,Body Wash,https://ohmycream.co.uk/collections/body-shower-bath/products/hair-body-wash?variant=41811424182444,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_12_SusanneKaufmann_GelDoucheCorps_Packshot_repack_f90e357a-1d89-4513-9239-fccc7c40ac4a.jpg?v=1741879284,"Complete list of ingredients

aqua/water/eau, sodium coco-sulfate, coco-glucoside, glycerin, pentylene glycol, cocamidopropyl betaine, hydroxypropyl guar hydroxypropyltrimonium chloride, rosa moschata seed oil, sericin, aloe barbadensis leaf powder, achillea millefolium extract, althaea officinalis root extract, chamomilla recutita (matricaria) flower extract, hypericum perforatum extract, salvia officinalis (sage) leaf extract, citric acid, sodium levulinate, sodium chloride, p-anisic acid, coconut acid, sodium hydroxide, maltodextrin, potassium sorbate, linalool, limonene, parfum (fragrance).

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Body Wash,'7545733775532,'42429060186284,Rudolph Care,Shower Power Body Soap,https://ohmycream.co.uk/collections/body-shower-bath/products/shower-power-bodysoap-rudolph-care?variant=42429060186284,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/5710111001104_RUDOLPH-CARE_SHOWER-POWER-BODYSOAP_250ML_TINY.jpg?v=1677143073,"Complete list of ingredients

aloe barbadensis leaf extract* (aloe vera), aqua, coco- glucoside, sodium coco-sulfate, glycerin, echinacea purpurea extract* (coneflower), citric acid, sucrose cocoate, maris sal, anthemis nobilis flower water* (chamomile), hamamelis virginiana leaf water* (witch hazel), euterpe oleracea fruit extract (acai), hydrolyzed wheat protein, parfum (natural), sodium benzoate, potassium sorbate

*ingredients from organic farming

99% natural origin of total 51% of the total ingredients are from organic farming

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'3.0,2
Body,Body Wash,'15211240653180,'55142229999996,L:a Bruket,Lemongrass Hand & Body Wash 069 Travel Size,https://ohmycream.co.uk/collections/body-shower-bath/products/la-bruket-lemongrass-hand-body-wash-069-travel-size?variant=55142229999996,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/L_ABruketHand_BodyWashLemongrass.jpg?v=1748332676,"Complete list of ingredients

aqua (water), sodium lauryl sulfoacetate, glycerin, sodium lauroyl sarcosinate, cocamidopropyl betaine, sodium pca, parfum (mix of essential oils), sodium levulinate, caprylyl/capryl glucoside, cymbopogon citratus (citronnelle) leaf oil, rosmarinus officinalis (rosemary) leaf oil, sodium anisate, polysorbate 20, sodium cocoyl glutamate, citric acid, glyceryl caprylate, polyglyceryl-6 oleate, sodium surfactin and citral, limonene, geraniol (natural ingredients of essential oils).

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
