Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Skincare,Eye & Lip Care,'15195082162556,'55123901120892,Naturisimo,The Glowing Skin Starter Kit,https://ohmycream.co.uk/collections/skincare-eye-lipcare/products/glowing-skin-starter-kit?variant=55123901120892,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheGlowingSkinStarterKit1.jpg?v=1745580708,"Complete list of ingredients

indie lee brightening cleanser water (aqua/eau), decyl glucoside (veg. oils & sugar), disodium coco-glucoside citrate, coco glucoside (coconut and sunflower oil), glyceryl oleate, hydrolyzed wheat protein, xanthan gum, fragaria chiloensis (strawberry) seed oil, lycopene (tomato), propanediol, ethylhexylglycerin, potassium sorbate

oskia super c x super r capsules super c: simmondsia chinensis (jojoba) seed oil, octyldodecanol (natural fatty acid emollient), prunus amygdalus dulcis (sweet almond) oil, tocopheryl (vitamin e) acetate, ascorbyl (vitamin c) tetraisopalmitate, solanum lycopersicum (tomato) fruit extract, tocotrienols (vitamin e), phytosterols, tocopherol (vitamin e), squalane (plant source), squalene (plant source), elaeis guineensis oil, parfum (nature identical fragrance), limonene*, linalool*

super r: c13-15 alkane, dimethyl isosorbide, sorbitan isostearate, octyldodecanol, ascorbyl (vitamin c) tetraisopalmitate, echium plantagineum seed oil, curcuma longa (turmeric) root extract, alaria esculenta extract, ubiquinone (coenzyme q10), 7-dehydrocholesterol (provitamin d3), tocopherol (vitamin e), caprylic/capric triglyceride, hydroxypinacolone retinoate, coco glucoside, rosmarinus officinalis (rosemary) leaf extract, cardiospermum halicacabum flower/leaf/vine extract, helianthus annuus (sunflower) seed oil unsaponifiables, helianthus annuus (sunflower) seed oil, olus oil (vegetable oil), lecithin, glycerin, water, sodium benzoate, rosa damascena extract.

*natural components of essential oil. capsules are vegan and bio-degradable.

trilogy vitamin c brightening eye serum aqua (water), coco-caprylate, glycerin, ascorbyl glucoside, hamamelis virginiana (witch hazel) water, microcrystalline cellulose, candelilla/jojoba/rice bran polyglyceryl-3 esters, glyceryl stearate, caprylic/capric triglyceride, cetyl alcohol, methylpropanediol, sambucus nigra (elderberry) flower extract, hyaluronic acid, silanetriol, sodium hyaluronate crosspolymer, caffeine, squalane mica, titanium dioxide (ci 77891), tocopherol (vitamin e), aloe barbadensis (aloe vera) leaf juice powder,citrus aurantium dulcis (orange sweet) peel oil, citrus nobilis (mandarin red) peel oil, lavandula angustifolia (lavender) flower oil, litsea cubeba (may chang) fruit oil, cananga odorata (ylang ylang) flower oil, cellulose gum, xanthan gum, helianthus annuus (sunflower) seed oil, cetearyl alcohol, sodium stearoyl lactylate, propanediol, ethylhexyl stearate, polyglyceryl-4 diisostearate/polyhydroxystearate/sebacate, sodium isostearate, alcohol, citric acid, sodium hydroxide, dehydroacetic acid, benzyl alcohol, limonene, linalool, citral, benzyl benzoate, geraniol.

trilogy vital moisturiser aqua, glycerin, prunus amygdalus dulcis (sweet almond) oil, glyceryl stearate se, oenothera biennis (evening primrose) oilsimmondsia chinensis (jojoba) seed oil, rosa canina seed oil, cetearyl wheat straw glycosides, cetearyl alcohol, sclerocarya birrea seed oil, aloe barbadensis leaf extract, sodium stearoyl glutamate, chamomilla recutita (matricaria) flower extract, solanum lycopersicum (tomato) seed oil, vaccinium macrocarpon (cranberry) seed oil, lycopene, euterpe oleracea fruit oil, avena sativa (oat) kernel extract, daucus carota sativa (carrot) seed oil, helianthus annuus (sunflower) seed oil, tocopheryl acetate, citrus aurantium amara (bitter orange) flower oil, rosmarinus officinalis (rosemary) leaf extract, caprylic/capric triglyceride, tocopherol, citric acid, parfum, benzyl alcohol**, dehydroacetic acid**, citral*, geraniol*, citronellol*, limonene*, linalool* *components of natural essential oils **preserved with dehydroacetic acid (and) benzyl alcohol

evolve bio-retinol gold mask helianthus annuus (sunflower) seed oil*, glycerin**, kaolin, prunus amygdalus dulcis (sweet almond) oil*, argania spinosa (argan) kernel oil*, mica, titanium dioxide (ci77891), silica, iron oxide (ci77491), sucrose laurate, rosa canina (rosehip) fruit oil*, parfum (naturally derived fragrance), bidens pilosa extract, astrocaryum murumuru seed butter, gossypium herbaceum (cotton) seed oil, linum usitatissimum (linseed) seed oil, citrus aurantium dulcis (orange) fruit water*, vanilla planifolia fruit oil, tocopherol, sucrose stearate, sucrose palmitate, tin oxide. *ingredients from organic farming **made using organic ingredients

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,209
Skincare,Eye & Lip Care,'15195082326396,'55123901219196,Naturisimo,The Purified Skin Starter Kit,https://ohmycream.co.uk/collections/skincare-eye-lipcare/products/purified-skin-starter-kit?variant=55123901219196,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/PurrifiedSkinStarterKit.jpg?v=1745584564,"Complete list of ingredients

odacite blue aura micellar water aloe barbadensis [aloe*] leaf juice, hamamelis virginiana [witch hazel] water, decyl glucoside, glucono delta lactone, medium chain triglycerides [caprylic/ capric] oil, glycerin*, ricinus communis [red turkey castor] oil, citrus paradisi [grapefruit*] essential oil, melia azadirachta [neem] extract, coccinia indica [ivy gourd] extract, solanum melongena [eggplant] extract, aloe barbadensis [aloe] extract, ocimum sanctum [holy basil] extract, curcuma longa [turmeric], benzyl alcohol, ethanol, salicylic acid, sorbic acid, natural components in essential oils limonene, myrcene | *organic

odylique lemon & tea tree purifying wash aqua, coco glucoside, olea europaea fruit oil*, sodium olivate*, glycerine**, aloe barbadensis leaf juice powder*, citrus limon peel oil*, cymbopogon citratus leaf oil*, melaleuca alternifolia leaf oil*, lactic acid, levulinic acid, p-anisic acid, sodium levulinate, xanthan gum, citral* & limonene* (in the essential oils) plain english: aloe vera juice*, gentle cleanser from coconut & corn glucose, extra virgin olive oil*, saponified extra virgin olive oil*, non-palm plant glycerine**, essential oils of lemon*, lemongrass* and tea tree*, plant origin stabilisers

* organically grown & produced ** organic origin (total 70%)

balance me bha exfoliating concentrate aqua (water), polyglyceryl-4 caprate, glycerin, salicylic acid, salix nigra (willow) bark extract sodium hyaluronate, centella asiatica extract (tiger grass), squalane / olea europaea (olive) fruit oil, caffeine, tilia cordata (linden) flower extract, litsea cubeba (may chang) fruit oil, citrus nobilis (mandarin) peel oil, citrus grandis (grapefruit) peel oil, cananga odorata (ylang ylang) flower oil, lavandula angustifolia (lavender) flower oil, tocopherol (vitamin e), potassium sorbate, sodium benzoate, sodium hydroxide, dehydroacetic acid, benzyl alcohol, farnesol, limonene, linalool, citral, benzyl benzoate, geraniol, benzyl salicylate.

upcircle face moisturiser with vitamin e + aloe vera aqua, helianthus annuus seed oil*, butyrospermum parkii (shea) butter*, theobroma cacao (cocoa) butter*, glyceryl stearate, cetearyl alcohol, glycerin, argania spinosa (argan) kernel extract, citrus aurantium dulcis (blood orange) peel oil, linum usitatissimum (linseed) oil, olea europaea (olive) fruit oil*, aloe barbadensis leaf extract*, citrus limonum peel oil, tocopherol, boswellia carterii (frankincense) oil, salvia sclarea oil, citrus aurantium amara leaf oil, coconut alcohol, sodium stearoyl glutamate, sucrose stearate, coco glucoside, xanthan gum, salicylic acid, sorbic acid, benzyl alcohol, ^limonene, ^linalool, ^geraniol. *organically-grown ingredients; ^natural constituent of essential oils listed.

antipodes aura manuka honey mask aqua (water), leptospermum scoparium (mel) manuka honey, persea gratissima (avocado pear) oil, glycerine, cetearyl glucoside, cetearyl alcohol, stearic acid, glyceryl stearate. tocopherol (vitamin e), helianthus annuus (sunflower) seed oil, dehydroacetic acid, benzyl alcohol, metrosideros excels (pohutukawa) flower extract, daucus carota (carrot) seed oil, vitis vinifera (vinanza® grape) seed extract. fragrance of vanilla & mandarin: coumarin, d-limonene, linalool.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,191
Skincare,Eye & Lip Care,'8017857970348,'43692098355372,L:a Bruket,Goodnight Lip Balm 311,https://ohmycream.co.uk/collections/skincare-eye-lipcare/products/l-a-bruket-goodnight-lip-balm-311?variant=43692098355372,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_09_LA_Bruket_Goodnight_Lip_Balm_311_Packshot.jpg?v=1726146283,Complete list of ingredients,'4.5,6
Skincare,Eye & Lip Care,'15204592812412,'55132390195580,Dr. Hauschka,Lip Care Stick,https://ohmycream.co.uk/collections/skincare-eye-lipcare/products/dr-hauschka-lip-care-stick?variant=55132390195580,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202504_Dr_Hauschka_Lip_Care_Stick_Packshot.png?v=1745326780,"Complete list of ingredients

ricinus communis (castor) seed oil, rosa canina (rose hip) fruit extract, simmondsia chinensis (jojoba) seed oil, lanolin,beeswax/cera alba, daucus carota sativa (carrot) root extract, butyrospermum parkii (shea butter), euphorbia cerifera (candelilla) wax, copernicia cerifera (carnauba) wax, rosa damascena (rose) extract, prunus amygdalus dulcis (sweet almond) oil, anthyllis vulneraria extract, cetyl alcohol, prunus armeniaca (apricot) kernel oil, hydrogenated jojoba oil (jojoba wax), fragrance (parfum), limonene*, citronellol*, geraniol*, citral*, linalool*, farnesol*, rosa damascena (rose) flower wax, lecithin. * component of natural essential oils.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,2
Skincare,Eye & Lip Care,'8074090578092,'43850258088108,Talm,Paloma Skincare Routine Pouch,https://ohmycream.co.uk/collections/skincare-eye-lipcare/products/talm-paloma-skincare-routine-pouch?variant=43850258088108,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Talm_BaluchonPalomaRoutineVisage_Packshot.jpg?v=1728556179,"Complete list of ingredients

la crème face cream aqua (water), c10-18 triglycerides, c15-19 alkane, glycerin, myristyl myristate, hydrogenated vegetable oil, prunus amygdalus dulcis (sweet almond) oil*, argania spinosa kernel oil*, glyceryl stearate citrate, prunus armeniaca (apricot) kernel oil*, pentylene glycol, centaurea cyanus flower water*, sodium stearoyl glutamate, sodium hyaluronate, aloe barbadensis leaf juice powder*,glyceryl caprylate, xanthan gum, , citric acid, sodium benzoate, sodium phytate, tocopherol, potassium sorbate. *ingredients issus de l'agriculture biologique *ingredients from organic farming

mega oil helianthus annuus hybrid oil (helianthus annuus (sunflower) seed oil)*, prunus amygdalus dulcis (sweet almond) oil*, sesamum indicum (sesame) seed oil*, argania spinosa kernel oil*, helianthus annuus (sunflower) seed oil unsaponifiables*, undaria pinnatifida extract*, helianthus annuus (sunflower) seed oil, parfum (fragrance)**, caprylic/capric triglyceride, tocopherol. *ingredients from organic farming contains no essential oils or alcohol. safe for pregnancy and breastfeeding. **100% natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Eye & Lip Care,'7383246143660,'41811447840940,Sunday Riley,Auto Correct Eye Cream Lightening & Anti-Puffiness,https://ohmycream.co.uk/collections/skincare-eye-lipcare/products/sunday-riley-auto-correct-eye-cream-lightening-anti-puffiness?variant=41811447840940,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/817494011456_Auto_Correct_Sunday_Riley.jpg?v=1658162606,"Complete list of ingredients

water/eau/aqua, caprylyl caprylate/caprate, peg-8 beeswax, polyglyceryl-6 distearate, dimethicone, c10-18 triglycerides, synthetic fluorphlogopite, glycerin, pheynl trimethicone, trimethylsiloxysilicate, hydroxyethyl acrylate/ sodium acryloyldimethyl taurate copolymer, jojoba esters, polypropylsilsequioxane, methylpropanediol, caffeine, citrullus lanatus (watermelon) fruit extract, butyrospermum parkii (shea) butter, theobroma cacao (cocoa) seed butter, aesculus hippocastanum (horse chestnut) extract, coffea arabica (coffee) seed extract, ptychopetalum olacoides bark/stem extract, pfaffia paniculata (brazilian ginseng) root extract, acmella oleracea (spilanthes) extract, cocos nucifera (coconut) fruit water, pyrus malus (apple) fruit extract, lens escuelenta (lentil) fruit extract, lilium candidum (madonna lilly) flower extract, xanthophyll, sodium pca, sodium lactate, fructose, sodium phytate, polyglyceryl-3 beeswax, propanediol, polysilicone-11, caprylyl glycol, phenoxyethanol, silica, mica, titanium dioxide, carthamus tinctorius (safflower) seed oil, triethyl citrate, cetyl alcohol, caprylyl/capryl glucoside, tocopherol, maltodextrin, trehalose, benzoic acid, lecithin, polysorbate 60, sorbitan isostearate, potassium sorbate, benzyl alcohol, sodium benzoate, citric acid.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.7,12
Skincare,Eye & Lip Care,'14949784846716,'54909096788348,Goop Beauty,The Nourishing Rich Lip Mask,https://ohmycream.co.uk/collections/skincare-eye-lipcare/products/goop-beauty-the-nourishing-rich-lip-mask?variant=54909096788348,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/NourishingLipRepairMask_GOOP.jpg?v=1738165598,"Complete list of ingredients

ricinus communis (castor) seed oil, bis-diglyceryl polyacyladipate-2, polyhydroxystearic acid, caprylic/capric triglyceride, behenyl behenate, synthetic beeswax, prunus amygdalus dulcis (sweet almond) oil, triheptanoin, coco-caprylate/caprate, cetearyl ethylhexanoate, citrus aurantium dulcis (sweet orange) peel oil, limonene, euphorbia cerifera (candelilla) wax, helianthus annuus (sunflower) seed oil, euterpe oleracea (acai) sterols, ficus carica (fig) seed oil, ceramide np, caprylyl glycol, butyrospermum parkii (shea) butter, dilinoleic acid/butanediol copolymer, helianthus annuus (sunflower) seed wax, tocopheryl acetate, amyl cinnamal, ionone, glyceryl laurate, glyceryl undecylenate, siraitia grosvenorii (monk fruit) fruit extract, allyl caproate, barosma betulina (buchu) leaf oil, castor oil/ipdi copolymer, ethyl butyrate, geranyl acetate, mentha viridis (spearmint) leaf oil, raspberry ketone, rose ketone-4 (damascenone), citral, linoleic acid, linalool, oleic acid, linolenic acid.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Eye & Lip Care,'7578263060652,'42499086450860,Pai Skincare,Feather Canyon Anti-Ageing Eye Cream,https://ohmycream.co.uk/collections/skincare-eye-lipcare/products/pai-skincare-feather-canyon-anti-ageing-eye-cream?variant=42499086450860,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Packshot_Repack_CremeContourdesYeuxFeatherCanyon_PAI.jpg?v=1680009823,"Complete list of ingredients

aqua (water), citrus aurantium dulcis fruit water* (orange fruit water), heptyl undecylenate, glycerin**, lactobacillus ferment, carthamus tinctorius seed oil* (safflower oil), glyceryl stearate citrate, argania spinosa kernel oil* (argan oil), butyrospermum parkii butter* (shea butter), myristyl myristate, cetearyl alcohol, rosa canina seed extract* c (rosehip seed extract), sodium levulinate, sclerotium gum, aleurites moluccanus seed oil* (kukui oil), methylheptylglycerin, sodium stearoyl glutamate, echium plantagineum seed oil (echium oil), cetearyl glucoside, lactic acid, sodium anisate, xanthan gum, glyceryl caprylate, polyglyceryl-3 distearate, tocopherol (vitamin e), sodium hyaluronate, sodium phytate, helianthus annuus seed oil (sunflower oil), rosmarinus officinalis leaf extract (rosemary extract)**

of total: 28.16% organic, 100% natural origin *organic ingredient **made using organic and non-organic ingredients ᶜco₂ extracted

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Skincare,Eye & Lip Care,'15195206123900,'55123993788796,Dr. Hauschka,Eye Balm,https://ohmycream.co.uk/collections/skincare-eye-lipcare/products/dr-hauschka-eye-balm?variant=55123993788796,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202503_Dr_Hauschka_Eye_Balm_Packshot.png?v=1745326781,"Complete list of ingredients

ricinus communis (castor) seed oil, arachis hypogaea (peanut) oil, beeswax (cera alba), daucus carota sativa (carrot) root extract, anthyllis vulneraria extract, prunus armeniaca (apricot) kernel oil, calendula officinalis flower extract, theobroma cacao (cocoa) seed butter, hypericum perforatum extract, silk (serica) powder, simmondsia chinensis (jojoba) seed oil, melia azadirachta leaf extract, fragrance (parfum), citronellol*, geraniol*, limonene*, linalool*, citral*, eugenol*, farnesol*, lecithin. *component of natural essential oils.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.4,7
Skincare,Eye & Lip Care,'7791511470252,'43099076559020,Goop Beauty,Vitamin-C Brightening Eye Cream,https://ohmycream.co.uk/collections/skincare-eye-lipcare/products/goop-beauty-vitamin-c-brightening-eye-cream?variant=43099076559020,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Creme_Yeux_eclat_Riche_en_Vitamine_C_Goop_Beauty.jpg?v=1753279427,"Complete list of ingredients

aqua/water/eau, glycerin, hydrogenated ethylhexyl olivate, coconut alkanes, niacinamide, propanediol, cetyl alcohol, mica (ci 77019), barium sulfate, cetyl phosphate, capryloyl glycerin/sebacic acid copolymer, tetrahexyldecyl ascorbate, caffeine, solanum lycopersicum (tomato) fruit/leaf/stem extract, bidens pilosa (black-jack) extract, adansonia digitata (baobab) pulp extract, tocopherol, simmondsia chinensis (jojoba) seed oil, astrocaryum murumuru (murumuru) seed butter, gossypium herbaceum (cotton) seed oil, arginine, hydrogenated olive oil unsaponifiables, linum usitatissimum (linseed) seed oil, squalane, diheptyl succinate, citric acid, potassium, sorbate, sodium levulinate, coco-caprylate/caprate, titanium dioxide (ci 77891), iron oxide (ci 77491), guar hydroxypropyltrimonium chloride, sodium benzoate, silica, xanthan gum. this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,3
